"year","title","imdb_id","gross_inflation","rank_unadjusted_inflation"
2002,"Signs (2002)","tt0286106",341411000,114
2009,"Up (2009)","tt1049413",339880000,58
1961,"El Cid (1961)","tt0054847",335391000,2437
2006,"Night at the Museum (2006)","tt0477347",333389000,91
1980,"Nine to Five (1980)","tt0080319",333123000,567
1960,"La Dolce Vita (1960)","tt0053779",332647000,2923
2012,"Skyfall (2012)","tt1074638",332261000,51
1993,"The Firm (1993)","tt0106918",332029000,259
2010,"The Twilight Saga: Eclipse (2010)","tt1325004",331901000,54
1981,"Porky's (1981)","tt0084522",331727000,551
2012,"The Hobbit: An Unexpected Journey (2012)","tt0903624",331168000,52
1980,"Stir Crazy (1980)","tt0081562",329888000,589
1997,"Air Force One (1997)","tt0118571",327909000,220
1998,"There's Something About Mary (1998)","tt0129387",326482000,212
1988,"Who Framed Roger Rabbit (1988)","tt0096438",325985000,272
2010,"Harry Potter and the Deathly Hallows: Part 1 (2010)","tt0926084",325285000,56
2006,"Cars (2006)","tt0317219",324092000,96
2007,"I Am Legend (2007)","tt0480249",323721000,85
1986,"Platoon (1986)","tt0091763",323612000,339
2010,"Inception (2010)","tt1375666",323080000,59
1989,"Lethal Weapon 2 (1989)","tt0097733",322141000,297
2009,"The Hangover (2009)","tt1119646",321320000,72
2012,"The Twilight Saga: Breaking Dawn - Part 2 (2012)","tt1673434",319146000,60
2002,"Austin Powers in Goldmember (2002)","tt0295178",318950000,138
2005,"War of the Worlds (2005)","tt0407304",317598000,108
1985,"Rocky IV (1985)","tt0089927",313690000,396
1967,"You Only Live Twice (1967)","tt0062512",312475000,1646
2013,"Man of Steel (2013)","tt0770828",311402000,63
2006,"X-Men: The Last Stand (2006)","tt0376994",310809000,107
2001,"The Mummy Returns (2001)","tt0209163",310495000,154
2003,"X2 (2003)","tt0290334",310199000,136
